pid,question,response
372,feedback,
372,strategy,I tried to remember relationships between colors
372,instructions,no
311,notes,No
311,colorblind,No
311,feedback,
311,strategy,"I was using the bulbs pictured above to make the connections more visually. In the first experiment it showed that if red was off, green would be on and if red was on then green would be off. Green and yellow were connected so they would either be both off or both on. Then if yellow was off, blue was on and if yellow was on blue was off. Blue and purple were also connected in that they were either both on  or both off. So using that information when it asked something like if red is off what is blue--I would go visually and think red is off, so that means green is on, which means yellow is also on, which means blue must be off. I think I got it right, but also I could totally be wrong."
311,instructions,No
266,notes,No
266,colorblind,No
266,feedback,
266,strategy,I used trial and error to figure out what was happening
266,instructions,No
334,notes,No
334,colorblind,No
334,feedback,"At one point in the middle, I started to fatigue on the formula and loose track of my original memory."
334,strategy,Remembering Same/Different on each of the connections
334,instructions,No
259,notes,No
259,colorblind,No
259,feedback,
259,strategy,I didn't have a strategy. I just winged it.
259,instructions,No.
285,notes,No
285,colorblind,No
285,feedback,i enjoyed study
285,strategy,i memorized green/red oppisite yellow/green same blue/purple same and yellow/blue oppisite
285,instructions,no
293,notes,No
293,colorblind,No
293,feedback,N/A
293,strategy,Memorization and process of elimination
293,instructions,N/A
498,notes,No
498,colorblind,No
498,feedback,none
498,strategy,"Red and green did the opposite, purple and blue worked together so did yellow and green. i selected opposite if any other pairing occurred. "
498,instructions,no
619,notes,No
619,colorblind,No
619,feedback,interesting. It took me a minmute to get through the trial phase
619,strategy,I paid attention to which lights were on together and which lights were not
619,instructions,no they were clear
509,notes,No
509,colorblind,No
509,feedback,
509,strategy,"the learning phase the answer was clear. But i'm not sure how i was supposed to learn a pattern in the second phase, so i just alternated on and off. "
509,instructions,
431,notes,No
431,colorblind,No
431,feedback,N/A
431,strategy,"I struggled to remember how pairs interacted with each other as I have an extremely poor memory, so it was almost entirely just random guessing. All I could remember was that red and green inhibited each other."
431,instructions,"No, they were clear."
613,notes,No
613,colorblind,No
613,feedback,n/a
613,strategy,I observed which colors yielded similar results to one another and then used this as the basis from which to judge all other combinations.
613,instructions,All instructions were clear.
482,notes,No
482,colorblind,No
482,feedback,n/a
482,strategy,"I had no strategy.  I was not given feedback in the main part of the experiment, so I guessed randomly."
482,instructions,Yes.
443,notes,No
443,colorblind,No
443,feedback,
443,strategy,MEMORIZE THE ORDER OF COLOR
443,instructions,YES
277,notes,No
277,colorblind,No
277,feedback,n/a
277,strategy,I found the pattern and followed it.
277,instructions,no
452,notes,No
452,colorblind,No
452,feedback,
452,strategy,"left to right the pairs were together, not together, together, not together,etc"
452,instructions,no
631,notes,No
631,colorblind,No
631,feedback,
631,strategy,"I tried to create pairings in my head like ""Red and blue are both off"""
631,instructions,
426,notes,No
426,colorblind,No
426,feedback,
426,strategy,I had trouble keeping my strategy from the learning phase in the predicting phase since the learning phase didn't include lightbulbs that were not directly next to each other.
426,instructions,No
342,notes,No
342,colorblind,No
342,feedback,
342,strategy,"red oppo of green, green = yellow, yellow oppo blue, blue = purple"
342,instructions,no - but practice was maybe too long
400,notes,No
400,colorblind,No
400,feedback,I enjoyed the experiment very much. 
400,strategy,I just kept doing the study until I figured in my head that there's a pattern where every other group is opposite of each other.  
400,instructions,No they were clear. 
424,notes,No
424,colorblind,No
424,feedback,
424,strategy,"Based on the learning phase, I figured out that when red is on then green will also be on. When green is on, yellow will be off. When yellow is off, blue is on. When blue is on, then purple is off. And vis-versa. Then I applied that pattern for the test."
424,instructions,"Only initially, but it became clearer as I went through the learning phase of the experiment."
341,notes,No
341,colorblind,No
341,feedback,
341,strategy,I tried to think of the previous set of light when answering the second set since I had no data to go on
341,instructions,no
265,notes,No
265,colorblind,No
265,feedback,it was confusing because there didn't seem to be a correct answer sometimes for the blue and purple. I didn't know if that was something I was supposed to notice and do differently as opposed to the other color challenges. 
265,strategy,I tried to memorize the pattern from the part that gave you the answers
265,instructions,no
624,notes,No
624,colorblind,No
624,feedback,
624,strategy,PRIMARY COLORS AND 2NDARY COLORS  so the pattern was the primarys followed eachother  and the 2ndary didnt for primary
624,instructions,no
308,notes,No
308,colorblind,No
308,feedback,I found it fun
308,strategy,I identified that the lights were in pairs and purple was on it's own. using this knowledge I was able to tell if a given light was on or off based on the inversing of pairs
308,instructions,no
618,notes,No
618,colorblind,No
618,feedback,Hated it.
618,strategy,I tried to remember the combinations
618,instructions,No
575,notes,No
575,colorblind,No
575,feedback,
575,strategy,"In the first set I was eventually able to remember a couple of combinations that were the same and a couple that were different.  In the second set when it was those same as well as different combinations, I was still remembering the first ones and tried to extrapolate"
575,instructions,No
622,notes,No
622,colorblind,No
622,feedback,
622,strategy,Going down the line after figuring out the relationship between the lights being on or off with their neighbors. 
622,instructions,No
449,notes,No
449,colorblind,No
449,feedback,
449,strategy,Tried to remember which direction had same results and which direction had opposite results. 
449,instructions,No
518,notes,No
518,colorblind,No
518,feedback,No problems.
518,strategy,"I just followed the sequences based on the instructions to determine if a light was on or off. Example: Red is on so green has to be on because they support each other, green being on means yellow is off because they inhibit each other. Yellow being off means blue is off because they support each other. Finally, blue being off means purple is on because they inhibit each other."
518,instructions,They were clear.
421,notes,No
421,colorblind,No
421,feedback,no
421,strategy,I tracked the pattern by memorizing the sequence as I kept getting right answers.
421,instructions,no
351,notes,No
351,colorblind,No
351,feedback,None
351,strategy,I noticed that all colored lights pretty much were in sync with each other except for blue and yellow. When blue was on yellow was off and vice versa. Usually when one color was one so was the other.
351,instructions,Everything was very clear
275,notes,No
275,colorblind,No
275,feedback,"I may have accidentally held down my 0 or 1 key when resting my hand on the keyboard during intense focusing / mental processing, causing a couple trials to automatically answer while the key was held. I caught this pretty quickly, but I think 3-4 trials still got answered by mistake while the key was pressed down."
275,strategy,"I used a strategy where I created relationships between lights, framing it as they ""like each other"" or not. If they liked each other, they would be on together. If they didn't like each other, they would always be opposite. I chained this across multiple lights for the prediction phase, going down the line and applying the rules for each light and how the next light would be lit (or not) when the previous adjacent light in the chain is lit (or not)."
275,instructions,No
595,notes,No
595,colorblind,No
595,feedback,N/A
595,strategy,I just used my memory to recall what pairs supported and inhibited each other.
595,instructions,None of the instructions were unclear.
292,notes,No
292,colorblind,No
292,feedback,"It was difficult, but doable"
292,strategy,"Pneumonics,rhymes, singing"
292,instructions,no
455,notes,No
455,colorblind,No
455,feedback,
455,strategy,I thought through how the colors were connected. So thinking about how red and green reacted and then how green and yellow reacted and then how blue and yellow and how blue and purple acted during the learning phase. I tried use what I had learned to predict how these would affect each other when pairs of colors I had not learned about were presented in the study. 
455,instructions,no
360,notes,No
360,colorblind,No
360,feedback,"No problems, I hope I did well."
360,strategy,I tried to remember the sequence and apply it to the experiment. I remembered the order and stuck to it.
360,instructions,"Not really, I think I was able to grasp the concept."
572,notes,No
572,colorblind,No
572,feedback,No feedback
572,strategy,"After some practice, I grouped the colors into two groups. Each group is either on or off but both cannot be the same. "
572,instructions,No
250,notes,No
250,colorblind,No
250,feedback,No feedback. Thanks! Have a great day!
250,strategy,"For the first part, I memorized which parts inhibited and which helped according to the feedback. For the second part, I looked at the colors about halfway through and thought some of them might look brighter when they were on. I don't know if that was accurate or not, but that is how I decided."
250,instructions,No.
493,notes,No
493,colorblind,No
493,feedback,
493,strategy,I employed a random strategy.
493,instructions,No.
362,notes,No
362,colorblind,No
362,feedback,
362,strategy,"I figured out if the lights were the same or opposite, but the timed exercise went much too fast for me to even think of the correct response."
362,instructions,No
554,notes,No
554,colorblind,No
554,feedback,
554,strategy,"It seemed colors next to each other on ROYGBO would be both on or both off othered. The others would be one on when the other off, and vice versa."
554,instructions,No
395,notes,No
395,colorblind,No
395,feedback,it was cool
395,strategy,i just learned through trial and error 
395,instructions,no
574,notes,No
574,colorblind,No
574,feedback,
574,strategy,There was no stragegy; the time moved to fast to think about it
574,instructions,No
616,notes,No
616,colorblind,No
616,feedback,
616,strategy,I tried to memorize the correct answers from practice and then deduce negative correlations based on color pairs. This was a bad idea since it just ended up confusing me and I struggled to recall all that I had learned
616,instructions,No
601,notes,No
601,colorblind,No
601,feedback,I encountered no problems and the study was simple
601,strategy,"I worked on associating the pairs of lights with whether or not they were inhibitory to the light they were paired with. During the last section, I tried to take that information and string it in order to get the answer for the other light."
601,instructions,No
316,notes,No
316,colorblind,No
316,feedback,It was hard
316,strategy,Tried to notice which sets were the same.  By elimination the others were different
316,instructions,No
257,notes,No
257,colorblind,No
257,feedback,
257,strategy,I tried to remember by how the colors mix together
257,instructions,no
628,notes,No
628,colorblind,No
628,feedback,It was an interesting study. I had no technical issues to report.
628,strategy,I could only go by what I learned during the learning phase. Some of my answers during the 2nd phase were guesses because I didn't know how certain colors supported or inhibited others.
628,instructions,No.
446,notes,No
446,colorblind,No
446,feedback,
446,strategy,"I tried to memorize the relationship between the two connected in the practice section, but I was pretty lost once in the actual prediction section, where I was asked for patterns for lights out of those groups. It also threw me off, so my memory of the patterns established before was weak. "
446,instructions,I don't think so. 
354,notes,Yes
354,colorblind,Yes
354,feedback,
354,strategy,I couldnt see the colors so I wasn't able to differentiate some of the colors
354,instructions,I would not say they were clear or unclear
387,notes,No
387,colorblind,No
387,feedback,
387,strategy,"From the learning stage, I learned the pattern was ""inhibit, support, inhibit, support"" for the sequential pairs. For the second stage, I tried to remember the associations between each pair -- transitive logic at first, then rote memorization after I'd figured out the association."
387,instructions,No
403,notes,No
403,colorblind,No
403,feedback,"It would be nice to move the timer so it isn't in line with the decision choices, it can be a distraction and 5 seconds is already a short amount of time."
403,strategy,"Memorized the colors from the training phase, there were 2 pair that lit up together and 2 that inhibited each other. For colors that I wasn't trained on I went with my gut feeling depending on whether the bulb that was on or off and had an inhibited bulb between it and the bulb in question. If given longer than 5 seconds then I would have worked it out sequentially, for example if red was on then that meant the order including red would be on, off, off, on, on. You could derive all of the bulbs' statuses as long as you knew which bulbs inhibit each other from the training phase."
403,instructions,The instructions were clear.
274,notes,No
274,colorblind,No
274,feedback,
274,strategy,"It took me a second to remember that I needed a passage rate and then I was confused for a second because it felt random. I went back and read the instructions, realized I was an idiot, and then worked out a pattern I thought applied. It seemed reliant on the beginning and the end of the light set-up, where if purple was on, it was likely red was as well, because of the way that the lights restricted one another. Yellow and green seemed reliant and would only be on when the other was, etc. "
274,instructions,
297,notes,No
297,colorblind,No
297,feedback,
297,strategy,"On the second part, I really just had to guess, I could not make a sound prediction in less than 5 seconds. "
297,instructions,
291,notes,No
291,colorblind,No
291,feedback,None
291,strategy,I just guessed
291,instructions,"Yes,  I thought there was more of a connection between pairs"
451,notes,No
451,colorblind,No
451,feedback,"No problems encountered, although it would've been nice to have a countdown showing how many more learning trials were left"
451,strategy,"During the learning phase, I knew that they alternated (e.g. the first two were opposites, the second and third were the same, etc). During the prediction phase, I was so pressed for time, I had to mostly go by intuition."
451,instructions,Nope
324,notes,No
324,colorblind,No
324,feedback,
324,strategy,By analyzing my incorrect reponses I was able to tell which lights were connected.
324,instructions,Yes the beginning instructions were a bit unclear.
560,notes,No
560,colorblind,No
560,feedback,No technical difficulties.  Just when I thought I had a pattern and rhythm going I would choose the wrong answer. 
560,strategy,The two end colors determined if the light next to them was on or off.  The middle colors were harder and took longer to learn their pattern. 
560,instructions,Instructions were clear.
589,notes,No
589,colorblind,No
589,feedback,I did not encounter any issues.
589,strategy,"I tried to think of pairs of colors as either being ""together"" or ""opposite"". At times I whispered to myself to try to commit the pairs to memory. I also tried to give a name to certain pairs, like red+green I thought of as Christmas."
589,instructions,No.
582,notes,No
582,colorblind,No
582,feedback,I tried my best I hope it'sok
582,strategy,"Honestly, this was very hard for me, just as I started getting the practice right it switched to the real one with no feedback."
582,instructions,no
597,notes,No
597,colorblind,No
597,feedback,No problems
597,strategy,I learned which colors support each other
597,instructions,the instructions were clear
389,notes,No
389,colorblind,No
389,feedback,
389,strategy,Remembering which lights where paired
389,instructions,No
367,notes,No
367,colorblind,No
367,feedback,This was an interesting study! 
367,strategy,Colors that complimented each other (red and green = Christmas) (green and yellow = Green Bay Packers) always are on or off together. Some others were random/not complentary
367,instructions,no
315,notes,No
315,colorblind,No
315,feedback,Very interesting!
315,strategy,I eventually realized the correlation between the yellow and blue bulbs differed from all other correlations. My strategy was to choose the opposite when yellow or blue bulbs were presented together.
315,instructions,"No, everything was clear."
532,notes,No
532,colorblind,No
532,feedback,No problems encountered.
532,strategy,I trial and errored my way through.
532,instructions,No
380,notes,No
380,colorblind,No
380,feedback,I thought it was an enjoyable experiment. 
380,strategy,I just learned which lights did which and it was pretty simple to remember. All lights were on-on until it got to yellow-blue which was on-off. Then blue and purple were the same. 
380,instructions,Nope
536,notes,No
536,colorblind,No
536,feedback,nah
536,strategy,"first stuck to results of first set which was that only blue and yellow inhibited each other. Then thought maybe anything down circuit from blue, i.e. purple, also might inhibit yellow, but was scattershot in this approach"
536,instructions,not clear if we were supposed to hew to original pattern or if completely new pattern in set 2
323,notes,No
323,colorblind,No
323,feedback,
323,strategy,Referring back to the image helped a lot.
323,instructions,No
510,notes,No
510,colorblind,No
510,feedback,
510,strategy,I made a note in my head which lights were on at the same time and that meant any of the other pairs were the opposite. then I started going down the line on the image starting with the shown pair.
510,instructions,no
528,notes,No
528,colorblind,No
528,feedback,"I think the study took a few minutes more than the intended 10 minutes, though it may have been because of the learning phase taking longer. "
528,strategy,"Since the third and fourth options (I believe yellow and blue) were always opposite in the learning phase and the rest of the left side was connected, I figured that the first three options would always be connected and that the last two options would always be the opposite of the first three. Thus, I would use the on/off clue of a particular light and compare it to the point where the switches would change, if necessary."
528,instructions,Instructions seemed clear.
281,notes,No
281,colorblind,No
281,feedback,No issues
281,strategy,Based on learning I was able to answer some questions.  Others that were different I had to think about the placement and if it made sense.
281,instructions,Nothing was unclear
304,notes,No
304,colorblind,No
304,feedback,
304,strategy,"At first I didn't understand it, but then I used my imagination to think of the lights that ended up being connected."
304,instructions,"No, it was just hard at the beginning."
538,notes,No
538,colorblind,No
538,feedback,none
538,strategy,memory and spoke aloud
538,instructions,none
535,notes,Yes
535,colorblind,No
535,feedback,I hope the debriefing explains the purpose of this study
535,strategy,for the practice i noted the relationship between the different colors but for the non-feedback session i randomly selected on or off
535,instructions,no
343,notes,No
343,colorblind,No
343,feedback,"That was interesting, thanks for including me. "
343,strategy,"I tried to guess how the colors related to one another. For instance, blue and purple supported each other, and so if blue supported another color, I guessed that purple would too."
343,instructions,"No, this seemed straightforward enough."
522,notes,No
522,colorblind,No
522,feedback,None
522,strategy,I tried to remember which lights controlled each other.
522,instructions,No
406,notes,No
406,colorblind,No
406,feedback,
406,strategy,"In the first phase, most of the pairs shown were both on at the same time except one. So in the new pairs in the second phase, I chose for those to be inhibitors."
406,instructions,
527,notes,No
527,colorblind,No
527,feedback,
527,strategy,"I noticed that blue and purple were opposite of whatever red yellow and green were, so I would choose the opposite then. blue and purple always matched and red yellow and green always matched. so i used this logic to figure it out"
527,instructions,No
440,notes,No
440,colorblind,No
440,feedback,
440,strategy,"Red, green and yellow were all the same when on or off, while blue and purple were the same. So knowing there were two groups helped define which were to on or off."
440,instructions,All good
248,notes,No
248,colorblind,No
248,feedback,"I enjoyed this experiment, thank you for the opportunity to participate."
248,strategy,I remembered that the only pair that worked against each other were blue and yellow. Then I started with the light I knew was on/off and worked across the string of lights one by one to get the answer.
248,instructions,No.
458,notes,No
458,colorblind,No
458,feedback,It would be easier if you had a thing at the bottom reminding you 1 is on and 0 is off the whole time or just a thing you could click that said on and off.
458,strategy,The first three lights were all on at the same time and off at the same time. The second two were on while the others were off and on while the others were off. 
458,instructions,Yes
349,notes,No
349,colorblind,No
349,feedback,no
349,strategy,i tried to memorize the relationships
349,instructions,no
450,notes,No
450,colorblind,No
450,feedback,n/a
450,strategy,i paid attention to the color combinations
450,instructions,no
526,notes,No
526,colorblind,No
526,feedback,
526,strategy,The light changes when it goes from Yellow to blue so everything before that break work together and everything after that break work together as well
526,instructions,No just had to figure out the pattern
483,notes,No
483,colorblind,No
483,feedback,
483,strategy,"I randomly guess on or off until I determined which light seemed to affect the one next to it, then guessed based on that assumption."
483,instructions,No
444,notes,No
444,colorblind,No
444,feedback,no problems
444,strategy,I came to understand that the left three lights would be the same as one another and the right two would be the same as one another.  The left three would always be different from the right two and vice versa.
444,instructions,No
547,notes,No
